seed,func,d,min
394,Dixon-Price,20,1.064680350358906e+00
394,Sum Squares,10,9.515733531929952e-06
394,Trid,10,-2.099999999800411e+02
394,Sum Squares,20,1.065933499806478e+01
394,Rosenbrock,10,1.270114595247510e-01
394,Trid,20,-1.518520277110321e+03
394,Rotated Hyper-Ellipsoid,20,5.481544180206715e+02
420,Ackley,10,1.759674273628538e+00
394,Rosenbrock,20,3.855508829425113e+01
394,Levy,10,2.762237027400699e+00
420,Ackley,20,1.100961738192644e+01
420,Griewank,10,1.000046803371283e+00
420,Rastrigin,10,1.401943538066244e+01
394,Levy,20,1.767058816422906e+00
420,Griewank,20,2.847363652485466e+00
420,Rotated Hyper-Ellipsoid,10,5.660736681446585e-02
420,Rastrigin,20,1.078139659273625e+02
420,Sphere,10,1.363246995738258e-05
420,Dixon-Price,10,2.373426557994528e-03
420,Sphere,20,5.380836636857212e-01
420,Sum Squares,10,1.767168363886782e-03
420,Dixon-Price,20,7.879087062071138e-01
420,Trid,10,-2.099999997059749e+02
420,Sum Squares,20,3.686839960608868e-01
420,Rotated Hyper-Ellipsoid,20,1.957264765943239e+02
420,Trid,20,-1.507080590809492e+03
420,Rosenbrock,10,2.634668405580235e-02
447,Ackley,10,3.148652126325743e+00
420,Rosenbrock,20,6.520596942847250e+01
447,Griewank,10,1.000019067985022e+00
447,Ackley,20,7.792976483793796e+00
420,Levy,10,1.081906355092492e+01
447,Rastrigin,10,3.930594619907013e+01
447,Griewank,20,5.222759159093060e+00
420,Levy,20,1.247572422878631e+00
447,Rastrigin,20,4.403013843229400e+01
447,Rotated Hyper-Ellipsoid,10,5.038298587254025e-08
447,Sphere,10,5.553953184065439e-06
447,Dixon-Price,10,5.000005952847657e-01
447,Sphere,20,1.229967752223656e+00
447,Sum Squares,10,1.262618145548762e-02
447,Dixon-Price,20,3.844666055463463e+01
447,Trid,10,-2.099999971484813e+02
447,Sum Squares,20,9.619171345757752e+01
447,Trid,20,-8.588168895469862e+02
447,Rotated Hyper-Ellipsoid,20,3.970675019841692e+02
447,Rosenbrock,20,8.611115630208245e+02
447,Rosenbrock,10,6.493356716061063e-03
474,Ackley,10,5.836532688917831e+00
447,Levy,10,4.106789009421816e-02
474,Griewank,10,1.000007682137597e+00
474,Ackley,20,1.571748470110235e+01
474,Rastrigin,10,3.359410975126529e+01
474,Griewank,20,4.453182022676947e+00
474,Rastrigin,20,1.349429736916047e+02
474,Rotated Hyper-Ellipsoid,10,8.184495826477407e-03
474,Sphere,10,2.237584753504932e-06
474,Sphere,20,1.005812164614028e+00
447,Levy,20,1.009044861083525e+00
474,Dixon-Price,10,5.000044302412183e-01
474,Sum Squares,10,1.294420020774768e-05
474,Trid,10,-2.097378813543928e+02
474,Dixon-Price,20,9.210087501583530e+00
474,Sum Squares,20,2.671903447155373e+00
474,Rotated Hyper-Ellipsoid,20,2.301001836928642e+02
474,Rosenbrock,10,3.741667670481557e-01
474,Trid,20,-4.477850992023923e+02
474,Rosenbrock,20,8.168876927957120e+01
501,Ackley,10,3.257043398543186e+00
501,Griewank,10,1.000826716820299e+00
474,Levy,10,2.324323240900126e-01
501,Ackley,20,1.117970743643591e+01
501,Rastrigin,10,6.503388835412335e+01
501,Griewank,20,1.211683283613651e+00
474,Levy,20,1.942645546285038e+01
501,Rastrigin,20,1.440106081559861e+02
501,Rotated Hyper-Ellipsoid,10,2.435693342354900e-10
501,Sphere,10,2.407987268226184e-04
501,Dixon-Price,10,2.882549896865221e-02
501,Sphere,20,6.165722522179628e-02
501,Sum Squares,10,4.170743028542252e-06
501,Dixon-Price,20,1.673399864749183e+01
501,Trid,10,-2.072372316586561e+02
501,Sum Squares,20,5.200463474766202e+01
501,Rotated Hyper-Ellipsoid,20,8.873490826220057e+02
501,Rosenbrock,10,4.620801095293057e-01
501,Trid,20,-1.513573172426317e+03
528,Ackley,10,3.145514975500108e-02
501,Rosenbrock,20,1.184964676885893e+02
528,Griewank,10,1.001392789174813e+00
501,Levy,10,2.269829631827477e-03
528,Ackley,20,3.638577118822156e+00
528,Rastrigin,10,5.254760346944852e+01
501,Levy,20,1.983730386204555e+01
528,Griewank,20,1.335614089075730e+00
528,Rastrigin,20,1.010539798638524e+02
528,Rotated Hyper-Ellipsoid,10,1.832229603667046e-08
528,Sphere,10,4.056792504911890e-04
528,Sphere,20,9.775468862963126e-02
528,Dixon-Price,10,1.055949925299616e-02
528,Dixon-Price,20,6.471091390691711e-01
528,Sum Squares,10,2.028670867588483e-05
528,Trid,10,-2.099909793967672e+02
528,Sum Squares,20,8.366700621037402e-01
528,Trid,20,-1.317382154291350e+03
528,Rotated Hyper-Ellipsoid,20,5.205778762074186e+02
528,Rosenbrock,10,1.747683557634067e-01
555,Ackley,10,6.393495515293484e+00
528,Rosenbrock,20,2.907273976880485e+01
555,Griewank,10,1.011032492553281e+00
528,Levy,10,1.076039474874108e+00
555,Ackley,20,1.736748341513796e+01
555,Rastrigin,10,5.372865825214055e+01
528,Levy,20,1.071676715418973e+00
555,Griewank,20,3.297400360744225e+00
555,Rastrigin,20,1.263458460560658e+02
555,Rotated Hyper-Ellipsoid,10,5.421422408975375e-07
555,Sphere,10,3.213446364319087e-03
555,Dixon-Price,10,5.000082585098593e-01
555,Sphere,20,6.691663557410378e-01
555,Sum Squares,10,2.609921079001282e-05
555,Dixon-Price,20,3.725545100623707e+00
555,Trid,10,-2.099999999992961e+02
555,Sum Squares,20,5.765898248322507e+00
555,Trid,20,-1.401209255364636e+03
555,Rotated Hyper-Ellipsoid,20,3.301316020592876e+01
555,Rosenbrock,10,6.440863668220321e-03
555,Rosenbrock,20,1.031012013585973e+02
555,Levy,10,2.146187476861890e-01
582,Ackley,10,6.793512009304736e-02
582,Griewank,10,1.000021645788145e+00
582,Ackley,20,1.429633161451118e+01
582,Rastrigin,10,2.881348021600667e+01
582,Griewank,20,1.950639937022793e+00
582,Rastrigin,20,1.307565332210846e+02
555,Levy,20,4.401825979544744e+00
582,Sphere,10,6.304792763866573e-06
582,Rotated Hyper-Ellipsoid,10,2.058431046140508e-04
582,Dixon-Price,10,5.000142132669092e-01
582,Sphere,20,2.768939507232256e-01
582,Sum Squares,10,4.347068269820209e-05
582,Dixon-Price,20,1.749074718283736e+00
582,Trid,10,-2.099969538138339e+02
582,Sum Squares,20,2.631085744576755e+00
582,Rotated Hyper-Ellipsoid,20,1.039103463037260e+03
582,Rosenbrock,10,7.841094062559113e-01
582,Trid,20,-1.474177886696445e+03
610,Ackley,10,4.252963521071944e+00
582,Rosenbrock,20,1.204462417772703e+02
610,Griewank,10,1.000028397390644e+00
582,Levy,10,4.492307189205448e+00
610,Ackley,20,1.014212236986387e+01
610,Rastrigin,10,2.016657418552306e+01
610,Griewank,20,3.238233575551379e+00
582,Levy,20,7.965226793984073e+00
610,Rotated Hyper-Ellipsoid,10,4.624600536062740e-04
610,Rastrigin,20,1.340701931344482e+02
610,Sphere,10,8.271339525445220e-06
610,Dixon-Price,10,5.000006505436880e-01
610,Sphere,20,6.519327804770465e-01
610,Sum Squares,10,1.473592888835972e-03
610,Dixon-Price,20,1.063938405434311e+01
610,Trid,10,-2.099999890943609e+02
610,Sum Squares,20,6.045086479879657e+01
610,Rosenbrock,10,6.107212421374894e-02
610,Rotated Hyper-Ellipsoid,20,5.074012824870874e+02
610,Trid,20,-1.499215614093206e+03
610,Rosenbrock,20,8.905852073252898e+01
638,Ackley,10,3.507550357220568e-02
638,Griewank,10,1.000000022638814e+00
638,Ackley,20,1.065760063507031e+01
610,Levy,10,3.279597327310823e-01
638,Rastrigin,10,1.889863212132477e+01
610,Levy,20,4.533203173357840e+00
638,Griewank,20,2.746188460648405e+00
638,Sphere,10,6.594032619580000e-09
638,Rotated Hyper-Ellipsoid,10,4.833265621423480e-10
638,Rastrigin,20,1.022354197187669e+02
638,Sphere,20,5.086142531424613e-01
638,Dixon-Price,10,5.000002397876906e-01
638,Sum Squares,10,4.278290068542324e-04
638,Dixon-Price,20,5.623358587689606e-01
638,Trid,10,-2.099999583082745e+02
638,Sum Squares,20,5.954420929187117e+00
638,Rosenbrock,10,4.065936845583757e+00
638,Rotated Hyper-Ellipsoid,20,2.139044269187889e+02
638,Trid,20,-1.403740955313115e+03
666,Ackley,10,6.166751365694481e+00
638,Rosenbrock,20,8.933127386413751e+01
666,Griewank,10,1.000401166401704e+00
638,Levy,10,3.722267619947400e-05
666,Ackley,20,3.601740315430952e+00
666,Rastrigin,10,2.294660356340509e+01
666,Griewank,20,2.901560135585492e+00
666,Rastrigin,20,1.285003891755837e+02
638,Levy,20,4.857165326060035e+00
666,Rotated Hyper-Ellipsoid,10,1.592902206709474e-05
666,Sphere,10,1.168481835647747e-04
666,Dixon-Price,10,5.000043504629277e-01
666,Sphere,20,5.538695335365824e-01
666,Sum Squares,10,1.368271773715773e-02
666,Dixon-Price,20,1.554551127126916e+01
666,Sum Squares,20,1.281633828170682e+00
666,Trid,10,-2.099994225279615e+02
666,Trid,20,-8.377978328643512e+02
666,Rotated Hyper-Ellipsoid,20,1.518074337692147e+03
666,Rosenbrock,10,2.196504108845732e-02
666,Rosenbrock,20,1.377279964295095e+02
694,Ackley,10,3.164971389376764e+00
694,Griewank,10,1.014839488054729e+00
666,Levy,10,1.486863395002376e-04
694,Ackley,20,1.942850429369098e+01
694,Rastrigin,10,3.995473819559700e+01
666,Levy,20,1.054273659297137e+01
694,Rotated Hyper-Ellipsoid,10,1.197099203982036e-03
694,Griewank,20,4.358646299256005e+00
694,Rastrigin,20,1.110655003347383e+02
694,Sphere,10,4.322314174020740e-03
694,Sphere,20,9.782766394135186e-01
694,Dixon-Price,10,5.000007533221708e-01
694,Sum Squares,10,1.332121817521155e-05
694,Dixon-Price,20,8.396873343782907e+00
694,Trid,10,-2.100000000000018e+02
694,Sum Squares,20,1.222823005193170e+01
694,Trid,20,-1.259056004498634e+03
694,Rotated Hyper-Ellipsoid,20,6.835093413289419e+02
694,Rosenbrock,10,2.944944340158751e-02
694,Rosenbrock,20,1.938467267916275e+01
722,Ackley,10,7.345657239165648e-02
722,Griewank,10,1.000218033311967e+00
722,Ackley,20,1.379380138389110e+01
694,Levy,10,3.894066800517708e-01
