seed,func,d,min
376271,Levy,20,1.88E-05
420279,Levy,20,7.37E-06
466706,Levy,20,6.38E-05
515583,Levy,20,2.51E-06
566913,Levy,20,2.28E-06
620838,Levy,20,4.49E-06
677318,Levy,20,2.55E-07
736263,Levy,20,8.75E-05
797723,Levy,20,5.70E-06
861591,Levy,20,5.40E-05
927870,Levy,20,4.04E-05
996556,Levy,20,1.30E-05
1067642,Levy,20,3.44E-05
76,Rastrigin,10,5.32E-05
2815,Rastrigin,10,4.84E-04
7933,Rastrigin,10,1.21E-04
15435,Rastrigin,10,4.84E-06
25313,Rastrigin,10,7.00E-06
37573,Rastrigin,10,3.10E-04
52211,Rastrigin,10,3.81E-06
69250,Rastrigin,10,1.59E-04
88866,Rastrigin,10,3.80E-04
111075,Rastrigin,10,9.45E-05
135748,Rastrigin,10,4.84E-06
162835,Rastrigin,10,1.22E-05
192338,Rastrigin,10,5.86E-04
224320,Rastrigin,10,1.36E-06
258698,Rastrigin,10,1.52E-04
295490,Rastrigin,10,7.37E-05
334663,Rastrigin,10,8.74E-06
376271,Rastrigin,10,0.00E+00
420279,Rastrigin,10,1.74E-04
466706,Rastrigin,10,2.53E-05
515583,Rastrigin,10,1.21E-06
566913,Rastrigin,10,5.25E-04
620838,Rastrigin,10,2.55E-04
677318,Rastrigin,10,8.97E-07
736263,Rastrigin,10,5.29E-06
797723,Rastrigin,10,7.80E-05
861591,Rastrigin,10,4.36E-05
927870,Rastrigin,10,3.06E-04
996556,Rastrigin,10,8.18E-06
1067642,Rastrigin,10,3.69E-05
76,Rastrigin,20,1.94E-05
2815,Rastrigin,20,8.19E-04
7933,Rastrigin,20,1.68E-03
15435,Rastrigin,20,2.09E-04
25313,Rastrigin,20,1.94E-03
37573,Rastrigin,20,3.92E-04
52211,Rastrigin,20,3.95E-04
69250,Rastrigin,20,1.84E-04
88866,Rastrigin,20,4.36E-05
111075,Rastrigin,20,4.36E-05
135748,Rastrigin,20,9.11E-04
162835,Rastrigin,20,1.76E-02
192338,Rastrigin,20,3.66E-04
224320,Rastrigin,20,3.92E-04
258698,Rastrigin,20,1.43E-04
295490,Rastrigin,20,3.47E-06
334663,Rastrigin,20,8.74E-06
376271,Rastrigin,20,5.13E-03
420279,Rastrigin,20,5.08E-05
466706,Rastrigin,20,8.04E-06
515583,Rastrigin,20,1.74E-04
566913,Rastrigin,20,2.58E-04
620838,Rastrigin,20,9.29E-05
677318,Rastrigin,20,1.21E-04
736263,Rastrigin,20,9.32E-04
797723,Rastrigin,20,1.00E-03
861591,Rastrigin,20,1.01E-03
927870,Rastrigin,20,5.72E-04
996556,Rastrigin,20,5.51E-05
1067642,Rastrigin,20,2.37E-04
76,Rosenbrock,10,0.00E+00
2815,Rosenbrock,10,0.00E+00
7933,Rosenbrock,10,0.00E+00
15435,Rosenbrock,10,0.00E+00
25313,Rosenbrock,10,0.00E+00
37573,Rosenbrock,10,0.00E+00
52211,Rosenbrock,10,0.00E+00
69250,Rosenbrock,10,0.00E+00
88866,Rosenbrock,10,0.00E+00
111075,Rosenbrock,10,0.00E+00
135748,Rosenbrock,10,0.00E+00
162835,Rosenbrock,10,0.00E+00
192338,Rosenbrock,10,0.00E+00
224320,Rosenbrock,10,0.00E+00
258698,Rosenbrock,10,0.00E+00
295490,Rosenbrock,10,0.00E+00
334663,Rosenbrock,10,0.00E+00
376271,Rosenbrock,10,0.00E+00
420279,Rosenbrock,10,0.00E+00
466706,Rosenbrock,10,0.00E+00
515583,Rosenbrock,10,0.00E+00
566913,Rosenbrock,10,0.00E+00
620838,Rosenbrock,10,0.00E+00
677318,Rosenbrock,10,0.00E+00
736263,Rosenbrock,10,0.00E+00
797723,Rosenbrock,10,0.00E+00
861591,Rosenbrock,10,0.00E+00
927870,Rosenbrock,10,0.00E+00
996556,Rosenbrock,10,0.00E+00
1067642,Rosenbrock,10,0.00E+00
76,Rosenbrock,20,0.00E+00
2815,Rosenbrock,20,0.00E+00
7933,Rosenbrock,20,0.00E+00
15435,Rosenbrock,20,0.00E+00
25313,Rosenbrock,20,0.00E+00
37573,Rosenbrock,20,0.00E+00
52211,Rosenbrock,20,0.00E+00
69250,Rosenbrock,20,0.00E+00
88866,Rosenbrock,20,0.00E+00
111075,Rosenbrock,20,0.00E+00
135748,Rosenbrock,20,0.00E+00
162835,Rosenbrock,20,0.00E+00
192338,Rosenbrock,20,0.00E+00
224320,Rosenbrock,20,0.00E+00
258698,Rosenbrock,20,0.00E+00
295490,Rosenbrock,20,0.00E+00
334663,Rosenbrock,20,0.00E+00
376271,Rosenbrock,20,0.00E+00
420279,Rosenbrock,20,0.00E+00
466706,Rosenbrock,20,0.00E+00
515583,Rosenbrock,20,0.00E+00
566913,Rosenbrock,20,0.00E+00
620838,Rosenbrock,20,0.00E+00
677318,Rosenbrock,20,0.00E+00
736263,Rosenbrock,20,0.00E+00
797723,Rosenbrock,20,0.00E+00
861591,Rosenbrock,20,0.00E+00
927870,Rosenbrock,20,0.00E+00
996556,Rosenbrock,20,0.00E+00
1067642,Rosenbrock,20,0.00E+00
76,Rotated Hyper-Ellipsoid,10,0.00E+00
2815,Rotated Hyper-Ellipsoid,10,0.00E+00
7933,Rotated Hyper-Ellipsoid,10,0.00E+00
15435,Rotated Hyper-Ellipsoid,10,0.00E+00
